id,name,description
GOVERN 6.2,NIST-AIRMF GOVERN 6.2,[Auto-generated stub] NIST-AIRMF requirement GOVERN 6.2 (family: GOVERN). Replace with authoritative text.
MANAGE 1.0,NIST-AIRMF MANAGE 1.0,[Auto-generated stub] NIST-AIRMF requirement MANAGE 1.0 (family: MANAGE). Replace with authoritative text.
MANAGE 1.1,NIST-AIRMF MANAGE 1.1,[Auto-generated stub] NIST-AIRMF requirement MANAGE 1.1 (family: MANAGE). Replace with authoritative text.
MANAGE 1.2,NIST-AIRMF MANAGE 1.2,[Auto-generated stub] NIST-AIRMF requirement MANAGE 1.2 (family: MANAGE). Replace with authoritative text.
MANAGE 1.3,NIST-AIRMF MANAGE 1.3,[Auto-generated stub] NIST-AIRMF requirement MANAGE 1.3 (family: MANAGE). Replace with authoritative text.
MANAGE 1.4,NIST-AIRMF MANAGE 1.4,[Auto-generated stub] NIST-AIRMF requirement MANAGE 1.4 (family: MANAGE). Replace with authoritative text.
MANAGE 2.0,NIST-AIRMF MANAGE 2.0,[Auto-generated stub] NIST-AIRMF requirement MANAGE 2.0 (family: MANAGE). Replace with authoritative text.
MANAGE 2.1,NIST-AIRMF MANAGE 2.1,[Auto-generated stub] NIST-AIRMF requirement MANAGE 2.1 (family: MANAGE). Replace with authoritative text.
MANAGE 2.2,NIST-AIRMF MANAGE 2.2,[Auto-generated stub] NIST-AIRMF requirement MANAGE 2.2 (family: MANAGE). Replace with authoritative text.
MANAGE 2.3,NIST-AIRMF MANAGE 2.3,[Auto-generated stub] NIST-AIRMF requirement MANAGE 2.3 (family: MANAGE). Replace with authoritative text.
MANAGE 2.4,NIST-AIRMF MANAGE 2.4,[Auto-generated stub] NIST-AIRMF requirement MANAGE 2.4 (family: MANAGE). Replace with authoritative text.
MANAGE 3.0,NIST-AIRMF MANAGE 3.0,[Auto-generated stub] NIST-AIRMF requirement MANAGE 3.0 (family: MANAGE). Replace with authoritative text.
MANAGE 3.1,NIST-AIRMF MANAGE 3.1,[Auto-generated stub] NIST-AIRMF requirement MANAGE 3.1 (family: MANAGE). Replace with authoritative text.
MANAGE 3.2,NIST-AIRMF MANAGE 3.2,[Auto-generated stub] NIST-AIRMF requirement MANAGE 3.2 (family: MANAGE). Replace with authoritative text.
MANAGE 4.0,NIST-AIRMF MANAGE 4.0,[Auto-generated stub] NIST-AIRMF requirement MANAGE 4.0 (family: MANAGE). Replace with authoritative text.
MANAGE 4.1,NIST-AIRMF MANAGE 4.1,[Auto-generated stub] NIST-AIRMF requirement MANAGE 4.1 (family: MANAGE). Replace with authoritative text.
MANAGE 4.2,NIST-AIRMF MANAGE 4.2,[Auto-generated stub] NIST-AIRMF requirement MANAGE 4.2 (family: MANAGE). Replace with authoritative text.
MANAGE 4.3,NIST-AIRMF MANAGE 4.3,[Auto-generated stub] NIST-AIRMF requirement MANAGE 4.3 (family: MANAGE). Replace with authoritative text.
MAP 1.0,NIST-AIRMF MAP 1.0,[Auto-generated stub] NIST-AIRMF requirement MAP 1.0 (family: MAP). Replace with authoritative text.
MAP 1.1,NIST-AIRMF MAP 1.1,[Auto-generated stub] NIST-AIRMF requirement MAP 1.1 (family: MAP). Replace with authoritative text.
MAP 1.2,NIST-AIRMF MAP 1.2,[Auto-generated stub] NIST-AIRMF requirement MAP 1.2 (family: MAP). Replace with authoritative text.
MAP 1.3,NIST-AIRMF MAP 1.3,[Auto-generated stub] NIST-AIRMF requirement MAP 1.3 (family: MAP). Replace with authoritative text.
MAP 1.4,NIST-AIRMF MAP 1.4,[Auto-generated stub] NIST-AIRMF requirement MAP 1.4 (family: MAP). Replace with authoritative text.
MAP 1.5,NIST-AIRMF MAP 1.5,[Auto-generated stub] NIST-AIRMF requirement MAP 1.5 (family: MAP). Replace with authoritative text.
MAP 1.6,NIST-AIRMF MAP 1.6,[Auto-generated stub] NIST-AIRMF requirement MAP 1.6 (family: MAP). Replace with authoritative text.
MAP 2.0,NIST-AIRMF MAP 2.0,[Auto-generated stub] NIST-AIRMF requirement MAP 2.0 (family: MAP). Replace with authoritative text.
MAP 2.1,NIST-AIRMF MAP 2.1,[Auto-generated stub] NIST-AIRMF requirement MAP 2.1 (family: MAP). Replace with authoritative text.
MAP 2.2,NIST-AIRMF MAP 2.2,[Auto-generated stub] NIST-AIRMF requirement MAP 2.2 (family: MAP). Replace with authoritative text.
MAP 2.3,NIST-AIRMF MAP 2.3,[Auto-generated stub] NIST-AIRMF requirement MAP 2.3 (family: MAP). Replace with authoritative text.
MAP 3.0,NIST-AIRMF MAP 3.0,[Auto-generated stub] NIST-AIRMF requirement MAP 3.0 (family: MAP). Replace with authoritative text.
MAP 3.1,NIST-AIRMF MAP 3.1,[Auto-generated stub] NIST-AIRMF requirement MAP 3.1 (family: MAP). Replace with authoritative text.
MAP 3.2,NIST-AIRMF MAP 3.2,[Auto-generated stub] NIST-AIRMF requirement MAP 3.2 (family: MAP). Replace with authoritative text.
MAP 3.3,NIST-AIRMF MAP 3.3,[Auto-generated stub] NIST-AIRMF requirement MAP 3.3 (family: MAP). Replace with authoritative text.
MAP 3.4,NIST-AIRMF MAP 3.4,[Auto-generated stub] NIST-AIRMF requirement MAP 3.4 (family: MAP). Replace with authoritative text.
MAP 3.5,NIST-AIRMF MAP 3.5,[Auto-generated stub] NIST-AIRMF requirement MAP 3.5 (family: MAP). Replace with authoritative text.
MAP 4.0,NIST-AIRMF MAP 4.0,[Auto-generated stub] NIST-AIRMF requirement MAP 4.0 (family: MAP). Replace with authoritative text.
MAP 4.1,NIST-AIRMF MAP 4.1,[Auto-generated stub] NIST-AIRMF requirement MAP 4.1 (family: MAP). Replace with authoritative text.
MAP 4.2,NIST-AIRMF MAP 4.2,[Auto-generated stub] NIST-AIRMF requirement MAP 4.2 (family: MAP). Replace with authoritative text.
MAP 5.0,NIST-AIRMF MAP 5.0,[Auto-generated stub] NIST-AIRMF requirement MAP 5.0 (family: MAP). Replace with authoritative text.
MAP 5.1,NIST-AIRMF MAP 5.1,[Auto-generated stub] NIST-AIRMF requirement MAP 5.1 (family: MAP). Replace with authoritative text.
MAP 5.2,NIST-AIRMF MAP 5.2,[Auto-generated stub] NIST-AIRMF requirement MAP 5.2 (family: MAP). Replace with authoritative text.
MEASURE 1.0,NIST-AIRMF MEASURE 1.0,[Auto-generated stub] NIST-AIRMF requirement MEASURE 1.0 (family: MEASURE). Replace with authoritative text.
MEASURE 1.1,NIST-AIRMF MEASURE 1.1,[Auto-generated stub] NIST-AIRMF requirement MEASURE 1.1 (family: MEASURE). Replace with authoritative text.
MEASURE 1.2,NIST-AIRMF MEASURE 1.2,[Auto-generated stub] NIST-AIRMF requirement MEASURE 1.2 (family: MEASURE). Replace with authoritative text.
MEASURE 1.3,NIST-AIRMF MEASURE 1.3,[Auto-generated stub] NIST-AIRMF requirement MEASURE 1.3 (family: MEASURE). Replace with authoritative text.
MEASURE 2.0,NIST-AIRMF MEASURE 2.0,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.0 (family: MEASURE). Replace with authoritative text.
MEASURE 2.1,NIST-AIRMF MEASURE 2.1,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.1 (family: MEASURE). Replace with authoritative text.
MEASURE 2.10,NIST-AIRMF MEASURE 2.10,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.10 (family: MEASURE). Replace with authoritative text.
MEASURE 2.11,NIST-AIRMF MEASURE 2.11,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.11 (family: MEASURE). Replace with authoritative text.
MEASURE 2.12,NIST-AIRMF MEASURE 2.12,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.12 (family: MEASURE). Replace with authoritative text.
MEASURE 2.13,NIST-AIRMF MEASURE 2.13,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.13 (family: MEASURE). Replace with authoritative text.
MEASURE 2.2,NIST-AIRMF MEASURE 2.2,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.2 (family: MEASURE). Replace with authoritative text.
MEASURE 2.3,NIST-AIRMF MEASURE 2.3,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.3 (family: MEASURE). Replace with authoritative text.
MEASURE 2.4,NIST-AIRMF MEASURE 2.4,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.4 (family: MEASURE). Replace with authoritative text.
MEASURE 2.5,NIST-AIRMF MEASURE 2.5,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.5 (family: MEASURE). Replace with authoritative text.
MEASURE 2.6,NIST-AIRMF MEASURE 2.6,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.6 (family: MEASURE). Replace with authoritative text.
MEASURE 2.7,NIST-AIRMF MEASURE 2.7,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.7 (family: MEASURE). Replace with authoritative text.
MEASURE 2.8,NIST-AIRMF MEASURE 2.8,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.8 (family: MEASURE). Replace with authoritative text.
MEASURE 2.9,NIST-AIRMF MEASURE 2.9,[Auto-generated stub] NIST-AIRMF requirement MEASURE 2.9 (family: MEASURE). Replace with authoritative text.
MEASURE 3.0,NIST-AIRMF MEASURE 3.0,[Auto-generated stub] NIST-AIRMF requirement MEASURE 3.0 (family: MEASURE). Replace with authoritative text.
MEASURE 3.1,NIST-AIRMF MEASURE 3.1,[Auto-generated stub] NIST-AIRMF requirement MEASURE 3.1 (family: MEASURE). Replace with authoritative text.
MEASURE 3.2,NIST-AIRMF MEASURE 3.2,[Auto-generated stub] NIST-AIRMF requirement MEASURE 3.2 (family: MEASURE). Replace with authoritative text.
MEASURE 3.3,NIST-AIRMF MEASURE 3.3,[Auto-generated stub] NIST-AIRMF requirement MEASURE 3.3 (family: MEASURE). Replace with authoritative text.
MEASURE 4.0,NIST-AIRMF MEASURE 4.0,[Auto-generated stub] NIST-AIRMF requirement MEASURE 4.0 (family: MEASURE). Replace with authoritative text.
MEASURE 4.1,NIST-AIRMF MEASURE 4.1,[Auto-generated stub] NIST-AIRMF requirement MEASURE 4.1 (family: MEASURE). Replace with authoritative text.
MEASURE 4.2,NIST-AIRMF MEASURE 4.2,[Auto-generated stub] NIST-AIRMF requirement MEASURE 4.2 (family: MEASURE). Replace with authoritative text.
MEASURE 4.3,NIST-AIRMF MEASURE 4.3,[Auto-generated stub] NIST-AIRMF requirement MEASURE 4.3 (family: MEASURE). Replace with authoritative text.
