id,name,description
6.1.2(d)(3),ISO42001 6.1.2(d)(3),[Auto-generated stub] ISO42001 requirement 6.1.2(d)(3) (family: 6). Replace with authoritative text.
6.1.2(e),ISO42001 6.1.2(e),[Auto-generated stub] ISO42001 requirement 6.1.2(e) (family: 6). Replace with authoritative text.
6.1.2(e)(1),ISO42001 6.1.2(e)(1),[Auto-generated stub] ISO42001 requirement 6.1.2(e)(1) (family: 6). Replace with authoritative text.
6.1.2(e)(2),ISO42001 6.1.2(e)(2),[Auto-generated stub] ISO42001 requirement 6.1.2(e)(2) (family: 6). Replace with authoritative text.
6.1.3,ISO42001 6.1.3,[Auto-generated stub] ISO42001 requirement 6.1.3 (family: 6). Replace with authoritative text.
6.1.3(a),ISO42001 6.1.3(a),[Auto-generated stub] ISO42001 requirement 6.1.3(a) (family: 6). Replace with authoritative text.
6.1.3(b),ISO42001 6.1.3(b),[Auto-generated stub] ISO42001 requirement 6.1.3(b) (family: 6). Replace with authoritative text.
6.1.3(c),ISO42001 6.1.3(c),[Auto-generated stub] ISO42001 requirement 6.1.3(c) (family: 6). Replace with authoritative text.
6.1.3(d),ISO42001 6.1.3(d),[Auto-generated stub] ISO42001 requirement 6.1.3(d) (family: 6). Replace with authoritative text.
6.1.3(e),ISO42001 6.1.3(e),[Auto-generated stub] ISO42001 requirement 6.1.3(e) (family: 6). Replace with authoritative text.
6.1.3(f),ISO42001 6.1.3(f),[Auto-generated stub] ISO42001 requirement 6.1.3(f) (family: 6). Replace with authoritative text.
6.1.3(g),ISO42001 6.1.3(g),[Auto-generated stub] ISO42001 requirement 6.1.3(g) (family: 6). Replace with authoritative text.
6.1.4,ISO42001 6.1.4,[Auto-generated stub] ISO42001 requirement 6.1.4 (family: 6). Replace with authoritative text.
6.2,ISO42001 6.2,[Auto-generated stub] ISO42001 requirement 6.2 (family: 6). Replace with authoritative text.
6.2(a),ISO42001 6.2(a),[Auto-generated stub] ISO42001 requirement 6.2(a) (family: 6). Replace with authoritative text.
6.2(b),ISO42001 6.2(b),[Auto-generated stub] ISO42001 requirement 6.2(b) (family: 6). Replace with authoritative text.
6.2(c),ISO42001 6.2(c),[Auto-generated stub] ISO42001 requirement 6.2(c) (family: 6). Replace with authoritative text.
6.2(d),ISO42001 6.2(d),[Auto-generated stub] ISO42001 requirement 6.2(d) (family: 6). Replace with authoritative text.
6.2(e),ISO42001 6.2(e),[Auto-generated stub] ISO42001 requirement 6.2(e) (family: 6). Replace with authoritative text.
6.2(f),ISO42001 6.2(f),[Auto-generated stub] ISO42001 requirement 6.2(f) (family: 6). Replace with authoritative text.
6.2(g),ISO42001 6.2(g),[Auto-generated stub] ISO42001 requirement 6.2(g) (family: 6). Replace with authoritative text.
6.3,ISO42001 6.3,[Auto-generated stub] ISO42001 requirement 6.3 (family: 6). Replace with authoritative text.
7.1,ISO42001 7.1,[Auto-generated stub] ISO42001 requirement 7.1 (family: 7). Replace with authoritative text.
7.2,ISO42001 7.2,[Auto-generated stub] ISO42001 requirement 7.2 (family: 7). Replace with authoritative text.
7.3,ISO42001 7.3,[Auto-generated stub] ISO42001 requirement 7.3 (family: 7). Replace with authoritative text.
7.4,ISO42001 7.4,[Auto-generated stub] ISO42001 requirement 7.4 (family: 7). Replace with authoritative text.
7.5.1,ISO42001 7.5.1,[Auto-generated stub] ISO42001 requirement 7.5.1 (family: 7). Replace with authoritative text.
7.5.1(a),ISO42001 7.5.1(a),[Auto-generated stub] ISO42001 requirement 7.5.1(a) (family: 7). Replace with authoritative text.
7.5.1(b),ISO42001 7.5.1(b),[Auto-generated stub] ISO42001 requirement 7.5.1(b) (family: 7). Replace with authoritative text.
7.5.2,ISO42001 7.5.2,[Auto-generated stub] ISO42001 requirement 7.5.2 (family: 7). Replace with authoritative text.
7.5.3,ISO42001 7.5.3,[Auto-generated stub] ISO42001 requirement 7.5.3 (family: 7). Replace with authoritative text.
7.5.3(a),ISO42001 7.5.3(a),[Auto-generated stub] ISO42001 requirement 7.5.3(a) (family: 7). Replace with authoritative text.
7.5.3(b),ISO42001 7.5.3(b),[Auto-generated stub] ISO42001 requirement 7.5.3(b) (family: 7). Replace with authoritative text.
8.1,ISO42001 8.1,[Auto-generated stub] ISO42001 requirement 8.1 (family: 8). Replace with authoritative text.
8.2,ISO42001 8.2,[Auto-generated stub] ISO42001 requirement 8.2 (family: 8). Replace with authoritative text.
8.3,ISO42001 8.3,[Auto-generated stub] ISO42001 requirement 8.3 (family: 8). Replace with authoritative text.
8.4,ISO42001 8.4,[Auto-generated stub] ISO42001 requirement 8.4 (family: 8). Replace with authoritative text.
9.1,ISO42001 9.1,[Auto-generated stub] ISO42001 requirement 9.1 (family: 9). Replace with authoritative text.
9.2.1,ISO42001 9.2.1,[Auto-generated stub] ISO42001 requirement 9.2.1 (family: 9). Replace with authoritative text.
9.2.1(a),ISO42001 9.2.1(a),[Auto-generated stub] ISO42001 requirement 9.2.1(a) (family: 9). Replace with authoritative text.
9.2.1(a)(1),ISO42001 9.2.1(a)(1),[Auto-generated stub] ISO42001 requirement 9.2.1(a)(1) (family: 9). Replace with authoritative text.
9.2.1(a)(2),ISO42001 9.2.1(a)(2),[Auto-generated stub] ISO42001 requirement 9.2.1(a)(2) (family: 9). Replace with authoritative text.
9.2.1(b),ISO42001 9.2.1(b),[Auto-generated stub] ISO42001 requirement 9.2.1(b) (family: 9). Replace with authoritative text.
9.2.2,ISO42001 9.2.2,[Auto-generated stub] ISO42001 requirement 9.2.2 (family: 9). Replace with authoritative text.
9.2.2(a),ISO42001 9.2.2(a),[Auto-generated stub] ISO42001 requirement 9.2.2(a) (family: 9). Replace with authoritative text.
9.2.2(b),ISO42001 9.2.2(b),[Auto-generated stub] ISO42001 requirement 9.2.2(b) (family: 9). Replace with authoritative text.
9.2.2(c),ISO42001 9.2.2(c),[Auto-generated stub] ISO42001 requirement 9.2.2(c) (family: 9). Replace with authoritative text.
9.3.1,ISO42001 9.3.1,[Auto-generated stub] ISO42001 requirement 9.3.1 (family: 9). Replace with authoritative text.
9.3.2,ISO42001 9.3.2,[Auto-generated stub] ISO42001 requirement 9.3.2 (family: 9). Replace with authoritative text.
9.3.2(a),ISO42001 9.3.2(a),[Auto-generated stub] ISO42001 requirement 9.3.2(a) (family: 9). Replace with authoritative text.
9.3.2(b),ISO42001 9.3.2(b),[Auto-generated stub] ISO42001 requirement 9.3.2(b) (family: 9). Replace with authoritative text.
9.3.2(c),ISO42001 9.3.2(c),[Auto-generated stub] ISO42001 requirement 9.3.2(c) (family: 9). Replace with authoritative text.
9.3.2(d),ISO42001 9.3.2(d),[Auto-generated stub] ISO42001 requirement 9.3.2(d) (family: 9). Replace with authoritative text.
9.3.2(d)(1),ISO42001 9.3.2(d)(1),[Auto-generated stub] ISO42001 requirement 9.3.2(d)(1) (family: 9). Replace with authoritative text.
9.3.2(d)(2),ISO42001 9.3.2(d)(2),[Auto-generated stub] ISO42001 requirement 9.3.2(d)(2) (family: 9). Replace with authoritative text.
9.3.2(d)(3),ISO42001 9.3.2(d)(3),[Auto-generated stub] ISO42001 requirement 9.3.2(d)(3) (family: 9). Replace with authoritative text.
9.3.2(e),ISO42001 9.3.2(e),[Auto-generated stub] ISO42001 requirement 9.3.2(e) (family: 9). Replace with authoritative text.
9.3.3,ISO42001 9.3.3,[Auto-generated stub] ISO42001 requirement 9.3.3 (family: 9). Replace with authoritative text.
A.10,ISO42001 A.10,[Auto-generated stub] ISO42001 requirement A.10 (family: A). Replace with authoritative text.
A.10.2,ISO42001 A.10.2,[Auto-generated stub] ISO42001 requirement A.10.2 (family: A). Replace with authoritative text.
A.10.3,ISO42001 A.10.3,[Auto-generated stub] ISO42001 requirement A.10.3 (family: A). Replace with authoritative text.
A.10.4,ISO42001 A.10.4,[Auto-generated stub] ISO42001 requirement A.10.4 (family: A). Replace with authoritative text.
A.2,ISO42001 A.2,[Auto-generated stub] ISO42001 requirement A.2 (family: A). Replace with authoritative text.
A.2.2,ISO42001 A.2.2,[Auto-generated stub] ISO42001 requirement A.2.2 (family: A). Replace with authoritative text.
A.2.3,ISO42001 A.2.3,[Auto-generated stub] ISO42001 requirement A.2.3 (family: A). Replace with authoritative text.
A.2.4,ISO42001 A.2.4,[Auto-generated stub] ISO42001 requirement A.2.4 (family: A). Replace with authoritative text.
A.3,ISO42001 A.3,[Auto-generated stub] ISO42001 requirement A.3 (family: A). Replace with authoritative text.
A.3.2,ISO42001 A.3.2,[Auto-generated stub] ISO42001 requirement A.3.2 (family: A). Replace with authoritative text.
A.3.3,ISO42001 A.3.3,[Auto-generated stub] ISO42001 requirement A.3.3 (family: A). Replace with authoritative text.
A.4,ISO42001 A.4,[Auto-generated stub] ISO42001 requirement A.4 (family: A). Replace with authoritative text.
A.4.2,ISO42001 A.4.2,[Auto-generated stub] ISO42001 requirement A.4.2 (family: A). Replace with authoritative text.
A.4.3,ISO42001 A.4.3,[Auto-generated stub] ISO42001 requirement A.4.3 (family: A). Replace with authoritative text.
A.4.4,ISO42001 A.4.4,[Auto-generated stub] ISO42001 requirement A.4.4 (family: A). Replace with authoritative text.
A.4.5,ISO42001 A.4.5,[Auto-generated stub] ISO42001 requirement A.4.5 (family: A). Replace with authoritative text.
A.4.6,ISO42001 A.4.6,[Auto-generated stub] ISO42001 requirement A.4.6 (family: A). Replace with authoritative text.
A.5,ISO42001 A.5,[Auto-generated stub] ISO42001 requirement A.5 (family: A). Replace with authoritative text.
A.5.2,ISO42001 A.5.2,[Auto-generated stub] ISO42001 requirement A.5.2 (family: A). Replace with authoritative text.
A.5.3,ISO42001 A.5.3,[Auto-generated stub] ISO42001 requirement A.5.3 (family: A). Replace with authoritative text.
A.5.4,ISO42001 A.5.4,[Auto-generated stub] ISO42001 requirement A.5.4 (family: A). Replace with authoritative text.
A.5.5,ISO42001 A.5.5,[Auto-generated stub] ISO42001 requirement A.5.5 (family: A). Replace with authoritative text.
A.6.1,ISO42001 A.6.1,[Auto-generated stub] ISO42001 requirement A.6.1 (family: A). Replace with authoritative text.
A.6.1.2,ISO42001 A.6.1.2,[Auto-generated stub] ISO42001 requirement A.6.1.2 (family: A). Replace with authoritative text.
A.6.1.3,ISO42001 A.6.1.3,[Auto-generated stub] ISO42001 requirement A.6.1.3 (family: A). Replace with authoritative text.
A.6.2,ISO42001 A.6.2,[Auto-generated stub] ISO42001 requirement A.6.2 (family: A). Replace with authoritative text.
A.6.2.2,ISO42001 A.6.2.2,[Auto-generated stub] ISO42001 requirement A.6.2.2 (family: A). Replace with authoritative text.
A.6.2.3,ISO42001 A.6.2.3,[Auto-generated stub] ISO42001 requirement A.6.2.3 (family: A). Replace with authoritative text.
A.6.2.4,ISO42001 A.6.2.4,[Auto-generated stub] ISO42001 requirement A.6.2.4 (family: A). Replace with authoritative text.
A.6.2.5,ISO42001 A.6.2.5,[Auto-generated stub] ISO42001 requirement A.6.2.5 (family: A). Replace with authoritative text.
A.6.2.6,ISO42001 A.6.2.6,[Auto-generated stub] ISO42001 requirement A.6.2.6 (family: A). Replace with authoritative text.
A.6.2.7,ISO42001 A.6.2.7,[Auto-generated stub] ISO42001 requirement A.6.2.7 (family: A). Replace with authoritative text.
A.6.2.8,ISO42001 A.6.2.8,[Auto-generated stub] ISO42001 requirement A.6.2.8 (family: A). Replace with authoritative text.
A.7,ISO42001 A.7,[Auto-generated stub] ISO42001 requirement A.7 (family: A). Replace with authoritative text.
A.7.2,ISO42001 A.7.2,[Auto-generated stub] ISO42001 requirement A.7.2 (family: A). Replace with authoritative text.
A.7.3,ISO42001 A.7.3,[Auto-generated stub] ISO42001 requirement A.7.3 (family: A). Replace with authoritative text.
A.7.4,ISO42001 A.7.4,[Auto-generated stub] ISO42001 requirement A.7.4 (family: A). Replace with authoritative text.
A.7.5,ISO42001 A.7.5,[Auto-generated stub] ISO42001 requirement A.7.5 (family: A). Replace with authoritative text.
A.7.6,ISO42001 A.7.6,[Auto-generated stub] ISO42001 requirement A.7.6 (family: A). Replace with authoritative text.
A.8,ISO42001 A.8,[Auto-generated stub] ISO42001 requirement A.8 (family: A). Replace with authoritative text.
A.8.2,ISO42001 A.8.2,[Auto-generated stub] ISO42001 requirement A.8.2 (family: A). Replace with authoritative text.
A.8.3,ISO42001 A.8.3,[Auto-generated stub] ISO42001 requirement A.8.3 (family: A). Replace with authoritative text.
A.8.4,ISO42001 A.8.4,[Auto-generated stub] ISO42001 requirement A.8.4 (family: A). Replace with authoritative text.
A.8.5,ISO42001 A.8.5,[Auto-generated stub] ISO42001 requirement A.8.5 (family: A). Replace with authoritative text.
A.9,ISO42001 A.9,[Auto-generated stub] ISO42001 requirement A.9 (family: A). Replace with authoritative text.
A.9.2,ISO42001 A.9.2,[Auto-generated stub] ISO42001 requirement A.9.2 (family: A). Replace with authoritative text.
A.9.3,ISO42001 A.9.3,[Auto-generated stub] ISO42001 requirement A.9.3 (family: A). Replace with authoritative text.
A.9.4,ISO42001 A.9.4,[Auto-generated stub] ISO42001 requirement A.9.4 (family: A). Replace with authoritative text.
