id,name,description
Article 12.2(b),EU-AIACT Article 12.2(b),[Auto-generated stub] EU-AIACT requirement Article 12.2(b) (family: Article). Replace with authoritative text.
Article 12.2(c),EU-AIACT Article 12.2(c),[Auto-generated stub] EU-AIACT requirement Article 12.2(c) (family: Article). Replace with authoritative text.
Article 12.3(a),EU-AIACT Article 12.3(a),[Auto-generated stub] EU-AIACT requirement Article 12.3(a) (family: Article). Replace with authoritative text.
Article 12.3(b),EU-AIACT Article 12.3(b),[Auto-generated stub] EU-AIACT requirement Article 12.3(b) (family: Article). Replace with authoritative text.
Article 12.3(c),EU-AIACT Article 12.3(c),[Auto-generated stub] EU-AIACT requirement Article 12.3(c) (family: Article). Replace with authoritative text.
Article 12.3(d),EU-AIACT Article 12.3(d),[Auto-generated stub] EU-AIACT requirement Article 12.3(d) (family: Article). Replace with authoritative text.
Article 13.1,EU-AIACT Article 13.1,[Auto-generated stub] EU-AIACT requirement Article 13.1 (family: Article). Replace with authoritative text.
Article 13.2,EU-AIACT Article 13.2,[Auto-generated stub] EU-AIACT requirement Article 13.2 (family: Article). Replace with authoritative text.
Article 13.3(a),EU-AIACT Article 13.3(a),[Auto-generated stub] EU-AIACT requirement Article 13.3(a) (family: Article). Replace with authoritative text.
Article 13.3(b)(i),EU-AIACT Article 13.3(b)(i),[Auto-generated stub] EU-AIACT requirement Article 13.3(b)(i) (family: Article). Replace with authoritative text.
Article 13.3(b)(ii),EU-AIACT Article 13.3(b)(ii),[Auto-generated stub] EU-AIACT requirement Article 13.3(b)(ii) (family: Article). Replace with authoritative text.
Article 13.3(b)(iii),EU-AIACT Article 13.3(b)(iii),[Auto-generated stub] EU-AIACT requirement Article 13.3(b)(iii) (family: Article). Replace with authoritative text.
Article 13.3(b)(iv),EU-AIACT Article 13.3(b)(iv),[Auto-generated stub] EU-AIACT requirement Article 13.3(b)(iv) (family: Article). Replace with authoritative text.
Article 13.3(b)(v),EU-AIACT Article 13.3(b)(v),[Auto-generated stub] EU-AIACT requirement Article 13.3(b)(v) (family: Article). Replace with authoritative text.
Article 13.3(b)(vi),EU-AIACT Article 13.3(b)(vi),[Auto-generated stub] EU-AIACT requirement Article 13.3(b)(vi) (family: Article). Replace with authoritative text.
Article 13.3(b)(vii),EU-AIACT Article 13.3(b)(vii),[Auto-generated stub] EU-AIACT requirement Article 13.3(b)(vii) (family: Article). Replace with authoritative text.
Article 13.3(c),EU-AIACT Article 13.3(c),[Auto-generated stub] EU-AIACT requirement Article 13.3(c) (family: Article). Replace with authoritative text.
Article 13.3(d),EU-AIACT Article 13.3(d),[Auto-generated stub] EU-AIACT requirement Article 13.3(d) (family: Article). Replace with authoritative text.
Article 13.3(e),EU-AIACT Article 13.3(e),[Auto-generated stub] EU-AIACT requirement Article 13.3(e) (family: Article). Replace with authoritative text.
Article 13.3(f),EU-AIACT Article 13.3(f),[Auto-generated stub] EU-AIACT requirement Article 13.3(f) (family: Article). Replace with authoritative text.
Article 14.1,EU-AIACT Article 14.1,[Auto-generated stub] EU-AIACT requirement Article 14.1 (family: Article). Replace with authoritative text.
Article 14.2,EU-AIACT Article 14.2,[Auto-generated stub] EU-AIACT requirement Article 14.2 (family: Article). Replace with authoritative text.
Article 14.3,EU-AIACT Article 14.3,[Auto-generated stub] EU-AIACT requirement Article 14.3 (family: Article). Replace with authoritative text.
Article 14.3(a),EU-AIACT Article 14.3(a),[Auto-generated stub] EU-AIACT requirement Article 14.3(a) (family: Article). Replace with authoritative text.
Article 14.3(b),EU-AIACT Article 14.3(b),[Auto-generated stub] EU-AIACT requirement Article 14.3(b) (family: Article). Replace with authoritative text.
Article 14.4,EU-AIACT Article 14.4,[Auto-generated stub] EU-AIACT requirement Article 14.4 (family: Article). Replace with authoritative text.
Article 14.4(a),EU-AIACT Article 14.4(a),[Auto-generated stub] EU-AIACT requirement Article 14.4(a) (family: Article). Replace with authoritative text.
Article 14.4(b),EU-AIACT Article 14.4(b),[Auto-generated stub] EU-AIACT requirement Article 14.4(b) (family: Article). Replace with authoritative text.
Article 14.4(c),EU-AIACT Article 14.4(c),[Auto-generated stub] EU-AIACT requirement Article 14.4(c) (family: Article). Replace with authoritative text.
Article 14.4(d),EU-AIACT Article 14.4(d),[Auto-generated stub] EU-AIACT requirement Article 14.4(d) (family: Article). Replace with authoritative text.
Article 14.4(e),EU-AIACT Article 14.4(e),[Auto-generated stub] EU-AIACT requirement Article 14.4(e) (family: Article). Replace with authoritative text.
Article 14.5,EU-AIACT Article 14.5,[Auto-generated stub] EU-AIACT requirement Article 14.5 (family: Article). Replace with authoritative text.
Article 15.1,EU-AIACT Article 15.1,[Auto-generated stub] EU-AIACT requirement Article 15.1 (family: Article). Replace with authoritative text.
Article 15.3,EU-AIACT Article 15.3,[Auto-generated stub] EU-AIACT requirement Article 15.3 (family: Article). Replace with authoritative text.
Article 15.4,EU-AIACT Article 15.4,[Auto-generated stub] EU-AIACT requirement Article 15.4 (family: Article). Replace with authoritative text.
Article 15.5,EU-AIACT Article 15.5,[Auto-generated stub] EU-AIACT requirement Article 15.5 (family: Article). Replace with authoritative text.
Article 16(a),EU-AIACT Article 16(a),[Auto-generated stub] EU-AIACT requirement Article 16(a) (family: Article). Replace with authoritative text.
Article 16(c),EU-AIACT Article 16(c),[Auto-generated stub] EU-AIACT requirement Article 16(c) (family: Article). Replace with authoritative text.
Article 16(d),EU-AIACT Article 16(d),[Auto-generated stub] EU-AIACT requirement Article 16(d) (family: Article). Replace with authoritative text.
Article 16(e),EU-AIACT Article 16(e),[Auto-generated stub] EU-AIACT requirement Article 16(e) (family: Article). Replace with authoritative text.
Article 16(f),EU-AIACT Article 16(f),[Auto-generated stub] EU-AIACT requirement Article 16(f) (family: Article). Replace with authoritative text.
Article 16(g),EU-AIACT Article 16(g),[Auto-generated stub] EU-AIACT requirement Article 16(g) (family: Article). Replace with authoritative text.
Article 16(i),EU-AIACT Article 16(i),[Auto-generated stub] EU-AIACT requirement Article 16(i) (family: Article). Replace with authoritative text.
Article 16(j),EU-AIACT Article 16(j),[Auto-generated stub] EU-AIACT requirement Article 16(j) (family: Article). Replace with authoritative text.
Article 16(k),EU-AIACT Article 16(k),[Auto-generated stub] EU-AIACT requirement Article 16(k) (family: Article). Replace with authoritative text.
Article 16(l),EU-AIACT Article 16(l),[Auto-generated stub] EU-AIACT requirement Article 16(l) (family: Article). Replace with authoritative text.
Article 17.1,EU-AIACT Article 17.1,[Auto-generated stub] EU-AIACT requirement Article 17.1 (family: Article). Replace with authoritative text.
Article 17.1(a),EU-AIACT Article 17.1(a),[Auto-generated stub] EU-AIACT requirement Article 17.1(a) (family: Article). Replace with authoritative text.
Article 17.1(b),EU-AIACT Article 17.1(b),[Auto-generated stub] EU-AIACT requirement Article 17.1(b) (family: Article). Replace with authoritative text.
Article 17.1(c),EU-AIACT Article 17.1(c),[Auto-generated stub] EU-AIACT requirement Article 17.1(c) (family: Article). Replace with authoritative text.
Article 17.1(d),EU-AIACT Article 17.1(d),[Auto-generated stub] EU-AIACT requirement Article 17.1(d) (family: Article). Replace with authoritative text.
Article 17.1(e),EU-AIACT Article 17.1(e),[Auto-generated stub] EU-AIACT requirement Article 17.1(e) (family: Article). Replace with authoritative text.
Article 17.1(f),EU-AIACT Article 17.1(f),[Auto-generated stub] EU-AIACT requirement Article 17.1(f) (family: Article). Replace with authoritative text.
Article 17.1(g),EU-AIACT Article 17.1(g),[Auto-generated stub] EU-AIACT requirement Article 17.1(g) (family: Article). Replace with authoritative text.
Article 17.1(h),EU-AIACT Article 17.1(h),[Auto-generated stub] EU-AIACT requirement Article 17.1(h) (family: Article). Replace with authoritative text.
Article 17.1(i),EU-AIACT Article 17.1(i),[Auto-generated stub] EU-AIACT requirement Article 17.1(i) (family: Article). Replace with authoritative text.
Article 17.1(j),EU-AIACT Article 17.1(j),[Auto-generated stub] EU-AIACT requirement Article 17.1(j) (family: Article). Replace with authoritative text.
Article 17.1(k),EU-AIACT Article 17.1(k),[Auto-generated stub] EU-AIACT requirement Article 17.1(k) (family: Article). Replace with authoritative text.
Article 17.1(l),EU-AIACT Article 17.1(l),[Auto-generated stub] EU-AIACT requirement Article 17.1(l) (family: Article). Replace with authoritative text.
Article 17.1(m),EU-AIACT Article 17.1(m),[Auto-generated stub] EU-AIACT requirement Article 17.1(m) (family: Article). Replace with authoritative text.
Article 17.2,EU-AIACT Article 17.2,[Auto-generated stub] EU-AIACT requirement Article 17.2 (family: Article). Replace with authoritative text.
Article 18.1,EU-AIACT Article 18.1,[Auto-generated stub] EU-AIACT requirement Article 18.1 (family: Article). Replace with authoritative text.
Article 18.1(a),EU-AIACT Article 18.1(a),[Auto-generated stub] EU-AIACT requirement Article 18.1(a) (family: Article). Replace with authoritative text.
Article 18.1(b),EU-AIACT Article 18.1(b),[Auto-generated stub] EU-AIACT requirement Article 18.1(b) (family: Article). Replace with authoritative text.
Article 18.1(c),EU-AIACT Article 18.1(c),[Auto-generated stub] EU-AIACT requirement Article 18.1(c) (family: Article). Replace with authoritative text.
Article 18.1(d),EU-AIACT Article 18.1(d),[Auto-generated stub] EU-AIACT requirement Article 18.1(d) (family: Article). Replace with authoritative text.
Article 18.1(e),EU-AIACT Article 18.1(e),[Auto-generated stub] EU-AIACT requirement Article 18.1(e) (family: Article). Replace with authoritative text.
Article 18.3,EU-AIACT Article 18.3,[Auto-generated stub] EU-AIACT requirement Article 18.3 (family: Article). Replace with authoritative text.
Article 19.1,EU-AIACT Article 19.1,[Auto-generated stub] EU-AIACT requirement Article 19.1 (family: Article). Replace with authoritative text.
Article 19.2,EU-AIACT Article 19.2,[Auto-generated stub] EU-AIACT requirement Article 19.2 (family: Article). Replace with authoritative text.
Article 20.1,EU-AIACT Article 20.1,[Auto-generated stub] EU-AIACT requirement Article 20.1 (family: Article). Replace with authoritative text.
Article 20.2,EU-AIACT Article 20.2,[Auto-generated stub] EU-AIACT requirement Article 20.2 (family: Article). Replace with authoritative text.
Article 21.1,EU-AIACT Article 21.1,[Auto-generated stub] EU-AIACT requirement Article 21.1 (family: Article). Replace with authoritative text.
Article 21.2,EU-AIACT Article 21.2,[Auto-generated stub] EU-AIACT requirement Article 21.2 (family: Article). Replace with authoritative text.
Article 21.3,EU-AIACT Article 21.3,[Auto-generated stub] EU-AIACT requirement Article 21.3 (family: Article). Replace with authoritative text.
Article 22.1,EU-AIACT Article 22.1,[Auto-generated stub] EU-AIACT requirement Article 22.1 (family: Article). Replace with authoritative text.
Article 22.2,EU-AIACT Article 22.2,[Auto-generated stub] EU-AIACT requirement Article 22.2 (family: Article). Replace with authoritative text.
Article 22.3,EU-AIACT Article 22.3,[Auto-generated stub] EU-AIACT requirement Article 22.3 (family: Article). Replace with authoritative text.
Article 22.3(a),EU-AIACT Article 22.3(a),[Auto-generated stub] EU-AIACT requirement Article 22.3(a) (family: Article). Replace with authoritative text.
Article 22.3(c),EU-AIACT Article 22.3(c),[Auto-generated stub] EU-AIACT requirement Article 22.3(c) (family: Article). Replace with authoritative text.
Article 22.3(d),EU-AIACT Article 22.3(d),[Auto-generated stub] EU-AIACT requirement Article 22.3(d) (family: Article). Replace with authoritative text.
Article 22.3(e),EU-AIACT Article 22.3(e),[Auto-generated stub] EU-AIACT requirement Article 22.3(e) (family: Article). Replace with authoritative text.
Article 23.1,EU-AIACT Article 23.1,[Auto-generated stub] EU-AIACT requirement Article 23.1 (family: Article). Replace with authoritative text.
Article 23.1(a),EU-AIACT Article 23.1(a),[Auto-generated stub] EU-AIACT requirement Article 23.1(a) (family: Article). Replace with authoritative text.
Article 23.1(b),EU-AIACT Article 23.1(b),[Auto-generated stub] EU-AIACT requirement Article 23.1(b) (family: Article). Replace with authoritative text.
Article 23.1(c),EU-AIACT Article 23.1(c),[Auto-generated stub] EU-AIACT requirement Article 23.1(c) (family: Article). Replace with authoritative text.
Article 23.1(d),EU-AIACT Article 23.1(d),[Auto-generated stub] EU-AIACT requirement Article 23.1(d) (family: Article). Replace with authoritative text.
Article 23.2,EU-AIACT Article 23.2,[Auto-generated stub] EU-AIACT requirement Article 23.2 (family: Article). Replace with authoritative text.
Article 23.3,EU-AIACT Article 23.3,[Auto-generated stub] EU-AIACT requirement Article 23.3 (family: Article). Replace with authoritative text.
Article 23.4,EU-AIACT Article 23.4,[Auto-generated stub] EU-AIACT requirement Article 23.4 (family: Article). Replace with authoritative text.
Article 23.5,EU-AIACT Article 23.5,[Auto-generated stub] EU-AIACT requirement Article 23.5 (family: Article). Replace with authoritative text.
Article 23.6,EU-AIACT Article 23.6,[Auto-generated stub] EU-AIACT requirement Article 23.6 (family: Article). Replace with authoritative text.
Article 23.7,EU-AIACT Article 23.7,[Auto-generated stub] EU-AIACT requirement Article 23.7 (family: Article). Replace with authoritative text.
Article 24.1,EU-AIACT Article 24.1,[Auto-generated stub] EU-AIACT requirement Article 24.1 (family: Article). Replace with authoritative text.
Article 24.2,EU-AIACT Article 24.2,[Auto-generated stub] EU-AIACT requirement Article 24.2 (family: Article). Replace with authoritative text.
Article 24.3,EU-AIACT Article 24.3,[Auto-generated stub] EU-AIACT requirement Article 24.3 (family: Article). Replace with authoritative text.
Article 24.4,EU-AIACT Article 24.4,[Auto-generated stub] EU-AIACT requirement Article 24.4 (family: Article). Replace with authoritative text.
Article 24.5,EU-AIACT Article 24.5,[Auto-generated stub] EU-AIACT requirement Article 24.5 (family: Article). Replace with authoritative text.
Article 24.6,EU-AIACT Article 24.6,[Auto-generated stub] EU-AIACT requirement Article 24.6 (family: Article). Replace with authoritative text.
Article 25.1,EU-AIACT Article 25.1,[Auto-generated stub] EU-AIACT requirement Article 25.1 (family: Article). Replace with authoritative text.
Article 25.1(a),EU-AIACT Article 25.1(a),[Auto-generated stub] EU-AIACT requirement Article 25.1(a) (family: Article). Replace with authoritative text.
Article 25.1(b),EU-AIACT Article 25.1(b),[Auto-generated stub] EU-AIACT requirement Article 25.1(b) (family: Article). Replace with authoritative text.
Article 25.1(c),EU-AIACT Article 25.1(c),[Auto-generated stub] EU-AIACT requirement Article 25.1(c) (family: Article). Replace with authoritative text.
Article 25.2,EU-AIACT Article 25.2,[Auto-generated stub] EU-AIACT requirement Article 25.2 (family: Article). Replace with authoritative text.
Article 25.4,EU-AIACT Article 25.4,[Auto-generated stub] EU-AIACT requirement Article 25.4 (family: Article). Replace with authoritative text.
Article 26.1,EU-AIACT Article 26.1,[Auto-generated stub] EU-AIACT requirement Article 26.1 (family: Article). Replace with authoritative text.
Article 26.11,EU-AIACT Article 26.11,[Auto-generated stub] EU-AIACT requirement Article 26.11 (family: Article). Replace with authoritative text.
Article 26.2,EU-AIACT Article 26.2,[Auto-generated stub] EU-AIACT requirement Article 26.2 (family: Article). Replace with authoritative text.
Article 26.4,EU-AIACT Article 26.4,[Auto-generated stub] EU-AIACT requirement Article 26.4 (family: Article). Replace with authoritative text.
Article 26.5,EU-AIACT Article 26.5,[Auto-generated stub] EU-AIACT requirement Article 26.5 (family: Article). Replace with authoritative text.
Article 26.6,EU-AIACT Article 26.6,[Auto-generated stub] EU-AIACT requirement Article 26.6 (family: Article). Replace with authoritative text.
Article 26.7,EU-AIACT Article 26.7,[Auto-generated stub] EU-AIACT requirement Article 26.7 (family: Article). Replace with authoritative text.
Article 26.8,EU-AIACT Article 26.8,[Auto-generated stub] EU-AIACT requirement Article 26.8 (family: Article). Replace with authoritative text.
Article 26.9,EU-AIACT Article 26.9,[Auto-generated stub] EU-AIACT requirement Article 26.9 (family: Article). Replace with authoritative text.
Article 27.1,EU-AIACT Article 27.1,[Auto-generated stub] EU-AIACT requirement Article 27.1 (family: Article). Replace with authoritative text.
Article 27.1(a),EU-AIACT Article 27.1(a),[Auto-generated stub] EU-AIACT requirement Article 27.1(a) (family: Article). Replace with authoritative text.
Article 27.1(b),EU-AIACT Article 27.1(b),[Auto-generated stub] EU-AIACT requirement Article 27.1(b) (family: Article). Replace with authoritative text.
Article 27.1(c),EU-AIACT Article 27.1(c),[Auto-generated stub] EU-AIACT requirement Article 27.1(c) (family: Article). Replace with authoritative text.
Article 27.1(d),EU-AIACT Article 27.1(d),[Auto-generated stub] EU-AIACT requirement Article 27.1(d) (family: Article). Replace with authoritative text.
Article 27.1(e),EU-AIACT Article 27.1(e),[Auto-generated stub] EU-AIACT requirement Article 27.1(e) (family: Article). Replace with authoritative text.
Article 27.1(f),EU-AIACT Article 27.1(f),[Auto-generated stub] EU-AIACT requirement Article 27.1(f) (family: Article). Replace with authoritative text.
Article 27.2,EU-AIACT Article 27.2,[Auto-generated stub] EU-AIACT requirement Article 27.2 (family: Article). Replace with authoritative text.
Article 27.3,EU-AIACT Article 27.3,[Auto-generated stub] EU-AIACT requirement Article 27.3 (family: Article). Replace with authoritative text.
Article 27.4,EU-AIACT Article 27.4,[Auto-generated stub] EU-AIACT requirement Article 27.4 (family: Article). Replace with authoritative text.
Article 3,EU-AIACT Article 3,[Auto-generated stub] EU-AIACT requirement Article 3 (family: Article). Replace with authoritative text.
Article 4,EU-AIACT Article 4,[Auto-generated stub] EU-AIACT requirement Article 4 (family: Article). Replace with authoritative text.
Article 40.1,EU-AIACT Article 40.1,[Auto-generated stub] EU-AIACT requirement Article 40.1 (family: Article). Replace with authoritative text.
Article 41.5,EU-AIACT Article 41.5,[Auto-generated stub] EU-AIACT requirement Article 41.5 (family: Article). Replace with authoritative text.
Article 43.1,EU-AIACT Article 43.1,[Auto-generated stub] EU-AIACT requirement Article 43.1 (family: Article). Replace with authoritative text.
Article 43.1(a),EU-AIACT Article 43.1(a),[Auto-generated stub] EU-AIACT requirement Article 43.1(a) (family: Article). Replace with authoritative text.
Article 43.1(b)(a),EU-AIACT Article 43.1(b)(a),[Auto-generated stub] EU-AIACT requirement Article 43.1(b)(a) (family: Article). Replace with authoritative text.
Article 43.1(b)(b),EU-AIACT Article 43.1(b)(b),[Auto-generated stub] EU-AIACT requirement Article 43.1(b)(b) (family: Article). Replace with authoritative text.
Article 43.1(b)(c),EU-AIACT Article 43.1(b)(c),[Auto-generated stub] EU-AIACT requirement Article 43.1(b)(c) (family: Article). Replace with authoritative text.
Article 43.1(b)(d),EU-AIACT Article 43.1(b)(d),[Auto-generated stub] EU-AIACT requirement Article 43.1(b)(d) (family: Article). Replace with authoritative text.
Article 43.2,EU-AIACT Article 43.2,[Auto-generated stub] EU-AIACT requirement Article 43.2 (family: Article). Replace with authoritative text.
Article 43.3,EU-AIACT Article 43.3,[Auto-generated stub] EU-AIACT requirement Article 43.3 (family: Article). Replace with authoritative text.
Article 43.4,EU-AIACT Article 43.4,[Auto-generated stub] EU-AIACT requirement Article 43.4 (family: Article). Replace with authoritative text.
Article 47.1,EU-AIACT Article 47.1,[Auto-generated stub] EU-AIACT requirement Article 47.1 (family: Article). Replace with authoritative text.
Article 47.2,EU-AIACT Article 47.2,[Auto-generated stub] EU-AIACT requirement Article 47.2 (family: Article). Replace with authoritative text.
Article 47.3,EU-AIACT Article 47.3,[Auto-generated stub] EU-AIACT requirement Article 47.3 (family: Article). Replace with authoritative text.
Article 47.4,EU-AIACT Article 47.4,[Auto-generated stub] EU-AIACT requirement Article 47.4 (family: Article). Replace with authoritative text.
Article 48.1,EU-AIACT Article 48.1,[Auto-generated stub] EU-AIACT requirement Article 48.1 (family: Article). Replace with authoritative text.
Article 48.2,EU-AIACT Article 48.2,[Auto-generated stub] EU-AIACT requirement Article 48.2 (family: Article). Replace with authoritative text.
Article 48.3,EU-AIACT Article 48.3,[Auto-generated stub] EU-AIACT requirement Article 48.3 (family: Article). Replace with authoritative text.
Article 48.4,EU-AIACT Article 48.4,[Auto-generated stub] EU-AIACT requirement Article 48.4 (family: Article). Replace with authoritative text.
Article 48.5,EU-AIACT Article 48.5,[Auto-generated stub] EU-AIACT requirement Article 48.5 (family: Article). Replace with authoritative text.
Article 49.1,EU-AIACT Article 49.1,[Auto-generated stub] EU-AIACT requirement Article 49.1 (family: Article). Replace with authoritative text.
Article 49.2,EU-AIACT Article 49.2,[Auto-generated stub] EU-AIACT requirement Article 49.2 (family: Article). Replace with authoritative text.
Article 49.3,EU-AIACT Article 49.3,[Auto-generated stub] EU-AIACT requirement Article 49.3 (family: Article). Replace with authoritative text.
Article 5.1,EU-AIACT Article 5.1,[Auto-generated stub] EU-AIACT requirement Article 5.1 (family: Article). Replace with authoritative text.
Article 5.1(a),EU-AIACT Article 5.1(a),[Auto-generated stub] EU-AIACT requirement Article 5.1(a) (family: Article). Replace with authoritative text.
Article 5.1(b),EU-AIACT Article 5.1(b),[Auto-generated stub] EU-AIACT requirement Article 5.1(b) (family: Article). Replace with authoritative text.
Article 5.1(c),EU-AIACT Article 5.1(c),[Auto-generated stub] EU-AIACT requirement Article 5.1(c) (family: Article). Replace with authoritative text.
Article 5.1(c)(i),EU-AIACT Article 5.1(c)(i),[Auto-generated stub] EU-AIACT requirement Article 5.1(c)(i) (family: Article). Replace with authoritative text.
Article 5.1(c)(ii),EU-AIACT Article 5.1(c)(ii),[Auto-generated stub] EU-AIACT requirement Article 5.1(c)(ii) (family: Article). Replace with authoritative text.
Article 5.1(d),EU-AIACT Article 5.1(d),[Auto-generated stub] EU-AIACT requirement Article 5.1(d) (family: Article). Replace with authoritative text.
Article 5.1(e),EU-AIACT Article 5.1(e),[Auto-generated stub] EU-AIACT requirement Article 5.1(e) (family: Article). Replace with authoritative text.
Article 5.1(f),EU-AIACT Article 5.1(f),[Auto-generated stub] EU-AIACT requirement Article 5.1(f) (family: Article). Replace with authoritative text.
Article 5.1(g),EU-AIACT Article 5.1(g),[Auto-generated stub] EU-AIACT requirement Article 5.1(g) (family: Article). Replace with authoritative text.
Article 50.1,EU-AIACT Article 50.1,[Auto-generated stub] EU-AIACT requirement Article 50.1 (family: Article). Replace with authoritative text.
Article 50.2,EU-AIACT Article 50.2,[Auto-generated stub] EU-AIACT requirement Article 50.2 (family: Article). Replace with authoritative text.
Article 50.3,EU-AIACT Article 50.3,[Auto-generated stub] EU-AIACT requirement Article 50.3 (family: Article). Replace with authoritative text.
Article 50.4,EU-AIACT Article 50.4,[Auto-generated stub] EU-AIACT requirement Article 50.4 (family: Article). Replace with authoritative text.
Article 50.5,EU-AIACT Article 50.5,[Auto-generated stub] EU-AIACT requirement Article 50.5 (family: Article). Replace with authoritative text.
Article 51.1,EU-AIACT Article 51.1,[Auto-generated stub] EU-AIACT requirement Article 51.1 (family: Article). Replace with authoritative text.
Article 51.1(a),EU-AIACT Article 51.1(a),[Auto-generated stub] EU-AIACT requirement Article 51.1(a) (family: Article). Replace with authoritative text.
Article 51.2,EU-AIACT Article 51.2,[Auto-generated stub] EU-AIACT requirement Article 51.2 (family: Article). Replace with authoritative text.
Article 52.1,EU-AIACT Article 52.1,[Auto-generated stub] EU-AIACT requirement Article 52.1 (family: Article). Replace with authoritative text.
Article 52.2,EU-AIACT Article 52.2,[Auto-generated stub] EU-AIACT requirement Article 52.2 (family: Article). Replace with authoritative text.
Article 53.1(a),EU-AIACT Article 53.1(a),[Auto-generated stub] EU-AIACT requirement Article 53.1(a) (family: Article). Replace with authoritative text.
Article 53.1(b),EU-AIACT Article 53.1(b),[Auto-generated stub] EU-AIACT requirement Article 53.1(b) (family: Article). Replace with authoritative text.
Article 53.1(b)(i),EU-AIACT Article 53.1(b)(i),[Auto-generated stub] EU-AIACT requirement Article 53.1(b)(i) (family: Article). Replace with authoritative text.
Article 53.1(b)(ii),EU-AIACT Article 53.1(b)(ii),[Auto-generated stub] EU-AIACT requirement Article 53.1(b)(ii) (family: Article). Replace with authoritative text.
Article 53.1(c),EU-AIACT Article 53.1(c),[Auto-generated stub] EU-AIACT requirement Article 53.1(c) (family: Article). Replace with authoritative text.
Article 53.1(d),EU-AIACT Article 53.1(d),[Auto-generated stub] EU-AIACT requirement Article 53.1(d) (family: Article). Replace with authoritative text.
Article 54.1,EU-AIACT Article 54.1,[Auto-generated stub] EU-AIACT requirement Article 54.1 (family: Article). Replace with authoritative text.
Article 54.2,EU-AIACT Article 54.2,[Auto-generated stub] EU-AIACT requirement Article 54.2 (family: Article). Replace with authoritative text.
Article 54.3,EU-AIACT Article 54.3,[Auto-generated stub] EU-AIACT requirement Article 54.3 (family: Article). Replace with authoritative text.
